Endpoint,readTimestamp,rssi,tagMac,isMotion
19243e66-5ace-11e9-8fe2-001d054d25e2,18:04:57,-63,0x5f8d55,false
19243e66-5ace-11e9-8fe2-001d054d25e2,18:04:57,-65,0x5f8d56,false
19243e66-5ace-11e9-8fe2-001d054d25e2,18:04:57,-63,0x5f8da1,false
19243e66-5ace-11e9-8fe2-001d054d25e2,18:04:57,-62,0x5f8d51,false
19243e66-5ace-11e9-8fe2-001d054d25e2,18:04:57,-64,0x5f8d9d,false
fea38b1e-5acd-11e9-9475-001d054d25e2,18:04:57,-59,0x5f8e3a,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-63,0x5f8d56,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-55,0x5f8d49,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-55,0x5f8d4b,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-58,0x5f8da1,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-64,0x5f8d4a,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-59,0x5f8d51,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-65,0x5f8d9e,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-58,0x5f8d9d,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-60,0x5f8d9f,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-60,0x5f8d48,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-63,0x5f8d55,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-64,0x5f8d53,false
11d84850-5ace-11e9-ac13-001d054d25e2,18:04:58,-65,0x5f8da0,false
48067a00-6519-11e9-9afd-001d054d25e2,18:04:58,-59,0x5f8e39,false
48067a00-6519-11e9-9afd-001d054d25e2,18:04:58,-58,0x5f8e38,false
48067a00-6519-11e9-9afd-001d054d25e2,18:04:58,-56,0x5f8e3a,false
48067a00-6519-11e9-9afd-001d054d25e2,18:04:58,-60,0x5f8e3b,false
3c0c5940-6519-11e9-b937-001d054d25e2,18:04:58,-63,0x5f8e3a,false
3c0c5940-6519-11e9-b937-001d054d25e2,18:04:58,-63,0x5f8e3d,false
